character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate
palutena,roy,19,18,37,0.5135135135135135
cloud,daisy,7,5,12,0.5833333333333334
ness,wii fit trainer,11,2,13,0.8461538461538461
kirby,rob,9,2,11,0.8181818181818182
fox,lucas,4,5,9,0.4444444444444444
lucas,peach,6,3,9,0.6666666666666666
king dedede,metaknight,4,5,9,0.4444444444444444
dr. mario,joker,4,2,6,0.6666666666666666
joker,wolf,39,18,57,0.6842105263157895
corrin,joker,7,1,8,0.875
chrom,link,15,7,22,0.6818181818181818
mrgameandwatch,pyra mythra,4,4,8,0.5
byleth,captainfalcon,8,2,10,0.8
inkling,olimar,13,2,15,0.8666666666666667
byleth,dr. mario,3,4,7,0.42857142857142855
olimar,yoshi,5,2,7,0.7142857142857143
byleth,yoshi,9,2,11,0.8181818181818182
metaknight,wario,4,1,5,0.8
corrin,jigglypuff,3,3,6,0.5
captainfalcon,sheik,6,4,10,0.6
metaknight,wolf,13,4,17,0.7647058823529411
duckhunt,wolf,7,5,12,0.5833333333333334
ike,sonic,13,4,17,0.7647058823529411
inkling,peach,14,6,20,0.7
olimar,pokemon trainer,5,10,15,0.3333333333333333
luigi,olimar,7,3,10,0.7
chrom,peach,10,6,16,0.625
rosalina & luma,wolf,6,2,8,0.75
byleth,joker,9,0,9,1.0
mario,mii swordfighter,6,1,7,0.8571428571428571
rob,rosalina & luma,6,0,6,1.0
megaman,sonic,9,2,11,0.8181818181818182
metaknight,villager,3,2,5,0.6
incineroar,isabelle,5,1,6,0.8333333333333334
byleth,wolf,12,3,15,0.8
megaman,villager,4,1,5,0.8
isabelle,zero suit samus,4,3,7,0.5714285714285714
bowser,mii swordfighter,5,5,10,0.5
pokemon trainer,simon,6,3,9,0.6666666666666666
byleth,lucas,5,2,7,0.7142857142857143
incineroar,palutena,13,6,19,0.6842105263157895
duckhunt,shulk,7,0,7,1.0
ridley,sonic,10,4,14,0.7142857142857143
bowser,mii brawler,4,2,6,0.6666666666666666
isabelle,joker,6,3,9,0.6666666666666666
ice climbers,peach,3,2,5,0.6
ridley,sheik,3,2,5,0.6
fox,greninja,11,5,16,0.6875
greninja,richter,3,2,5,0.6
duckhunt,lucas,4,2,6,0.6666666666666666
mii brawler,pokemon trainer,7,4,11,0.6363636363636364
megaman,peach,9,2,11,0.8181818181818182
greninja,roy,13,15,28,0.4642857142857143
joker,rob,23,14,37,0.6216216216216216
chrom,yoshi,17,9,26,0.6538461538461539
isabelle,lucas,3,4,7,0.42857142857142855
corrin,mrgameandwatch,5,5,10,0.5
byleth,incineroar,4,1,5,0.8
duckhunt,metaknight,3,3,6,0.5
palutena,simon,7,1,8,0.875
shulk,shulk,4,1,5,0.8
mii brawler,mrgameandwatch,6,0,6,1.0
bowser,greninja,9,9,18,0.5
ice climbers,yoshi,4,1,5,0.8
joker,mrgameandwatch,15,4,19,0.7894736842105263
sheik,yoshi,5,4,9,0.5555555555555556
lucas,samus,5,3,8,0.625
lucas,pokemon trainer,7,5,12,0.5833333333333334
lucas,mii brawler,2,4,6,0.3333333333333333
donkeykong,inkling,26,11,37,0.7027027027027027
cloud,richter,7,4,11,0.6363636363636364
cloud,ridley,11,4,15,0.7333333333333333
rob,robin,18,5,23,0.782608695652174
donkeykong,roy,16,5,21,0.7619047619047619
cloud,ice climbers,5,10,15,0.3333333333333333
mrgameandwatch,villager,3,4,7,0.42857142857142855
joker,samus,10,4,14,0.7142857142857143
captainfalcon,mii brawler,6,1,7,0.8571428571428571
dr. mario,link,4,1,5,0.8
lucas,pikachu,4,4,8,0.5
